title|llm_output|filtered_count
SOCIAL MEDIA ERUPTS Over Awkward Photo Of Marco Rubio Attempting To Hug Ivanka Trump…Rubio’s Responses Are HILARIOUS!|true|10
 WATCH: Texas Judge Orders Newly Sworn-In Citizens To Accept Trump Or Leave The Country|fake|10
Classless Obama Continues to Shamelessly Shadow Trump: ‘We have a temporary lack of American leadership’|fake|10
 Pat Robertson Endorses Trump: He ‘Inspires Us All’ (VIDEO)|fake|10
Philippine senator criticizes 'reckless disregard' in dengue vaccine program|true|10
China expresses 'grave concern' over North Korean missile test|true|10
 These Two Pictures Tell You Everything You Need To Know About The Difference Between Republicans And Democrats (IMAGES)|fake|10
RAND PAUL Picks Fight With Wrong Senator: Says Cruz Is “Pretty Much Done” In Senate Because He Won’t Get Along [VIDEO]|true|10
 WATCH: Trump’s EPA Stooge Gets His A** Handed To Him By Fox Host On Climate Change|fake|10
Yemen says Saudi-led coalition to allow commercial flights|true|9
THE TEA PARTY IS MAKING A COMEBACK! Conservatives Reorganize…Mobilize To Fight Back Against Rent-A-Mob Democrats, Hold Congress Accountable [VIDEO]|fake|10
 Republicans Are Now Threatening To KILL Transgender Students At This University|fake|10
Haitian army set to make controversial return after two decades|fake|9
Weak columns, extra floors led to Mexico school collapse, experts say|fake|9
BOXING LEGEND GEORGE FOREMAN Reveals How Trump Saved Him When He Was “Broke…Bankrupt”…BLASTS Athletes Like Kaepernick and Durant For Disrespecting Our Nation|fake|9
 Parents Ban Black History Month Video From School Because Of ‘White Guilt’ (VIDEO)|fake|8
Bullets and burns: Portraits of injured Rohingya refugees|true|10
White House urges ban on non-compete agreements for many workers|fake|7
Fed officials take aim at tax cuts as Trump mulls new central bank chair|true|10
New Wall Street candidates emerge to test Trump-era appeal|fake|5
 Tom Cotton Accepted $1 Million From Israel To Sabotage Iran Nuclear Deal|fake|10
Republican congressional candidate in Montana cited with assaulting reporter|true|10
 Amazon Sells Out Of John Lewis’ Biographies After Trump Attack|true|10
 WATCH: Joy Reid Shuts Down Trump Supporter For Peddling Lie After Lie About Hillary Clinton|fake|10
Clinton leads Trump by 5 points in Reuters/Ipsos poll|fake|10
Factbox: Short list of potential Trump administration picks|true|10
“GENTLEMAN” SOLDIER Who Gave Sarah Huckabee Sanders His Coat In Freezing Cold Korean Militarized Zone Is Identified|fake|10
 Trump’s Relationship With This Woman Could Lead To HUGE Scandal For GOP|true|10
Russian Twitter accounts promoted Brexit ahead of EU referendum: Times newspaper|true|10
Lebanese offshore oil and gas licensing round continues despite political crisis|fake|4
 Pence Joins Trump’s NFL Whinefest, Leaves Colts Game In A Huff Over Police Brutality Protests|fake|6
PRICELESS! BILL MAHER CALLS Senator Elizabeth Warren “Pocahontas” During Interview [VIDEO]|fake|10
CASTRO IGNORES DISASTROUS COMMUNIST POLICIES That Destroyed Cubans: Blames World Leaders At UN Assembly For Allowing Millions To Go Hungry|fake|5
U.S. charges former Turkish minister with Iran sanctions evasion|fake|4
Charlottesville and the Problem of Left & Right Identity Politics in America|fake|10
NEW BLACK PANTHER LEADER Sends Warning About Republican Convention [Video]|fake|10
IRAN Announces Reason For Arresting US Sailors…They Were Teaching Congress A Lesson?|true|10
HOUSTON TEXAN PLAYERS THREATEN Owner For Telling NFL Team Owners “We can’t have the inmates running the prison” During Private Meeting|fake|5
Top U.S. Senate Democrat wants probe into details surrounding Flynn resignation|fake|10
 Kentucky Republican To Rape Victim: Getting DNA From Rapist Worse Intrusion Than Being Raped|fake|6
Trump, UK's May agree that China must do more on North Korea: UK|true|9
 Ivanka Just Fell Flat On Her Face Trying To Convince Women Fall In Line Behind Her Dad (VIDEO)|fake|10
UPDATE: CRUZ COMMENTS On His Desperate Vote Shaming In Iowa|fake|10
 Trump Jr. Throws Temper Tantrum While Comey Testifies That His Dad Obstructed Justice|true|6
U.S. Treasury's Mnuchin to bring up defense on Ottawa trip: U.S. official|true|10
Russian diplomat says U.S. stance on Syria 'a mystery' - agencies|fake|5
Iran's Rouhani says foreign interference in Syria must end, names no names|true|9
CASTING CRISIS: Orlando’s Actors, Agents and Casualty Role Players|fake|9
Turkey's Erdogan says U.S. decision on Jerusalem disregards United Nations|fake|4
WATCH: HILARIOUS AD Calls Into Question Health Of Aging Clinton Crime Family Bosses|fake|10
Thornton, Arkansas congressman who figured in Nixon impeachment, dies|fake|10
 America Shocked To Learn That Immigration Opponents Are Actually Racist Jerks (IMAGE)|true|10
 Fox News Shamefully Tries To Pass Off Obama’s Economic Achievements As Trump’s And Gets POUNDED For It|true|10
 Trump Seriously Just Said Waterboarding Is Okay Because It’s Not ‘REAL Torture’ (VIDEO)|fake|4
House budget chief expects budget resolution approval in October 5 vote|true|10
New Black Panther Party says to carry arms in Cleveland if legal|fake|10
 Trump And John Kelly Just Got RIPPED APART By A Medal Of Honor Recipient (VIDEO)|fake|10
Senate panel says it will subpoena Michael Flynn businesses|true|10
Jane Goodall urges U.S. Senate to halt quest for Arctic refuge oil|true|2
Democrats see FBI controversy hurting chances in U.S. Congress races|fake|10
Factbox: Republican side-deals build support for Senate tax bill|true|10
Mexico finance minister says NAFTA talks create economic uncertainty|true|9
Palestine's Abbas says U.S. Jerusalem decision 'greatest crime'|true|10
Turkish PM calls Rohingya killings in Myanmar 'genocide'|true|10
U.S. seeks to dismiss lawsuit against Trump over foreign payments|true|10
(Video) Breaking: Hillary Clinton Is Facing A Possible Criminal Probe|fake|10
Trying to move on from the U.S. election? Tune into November 2020|true|9
 Elizabeth Warren Supporter Purchases ‘Pocahontas’ Domain, Trolls Donald Trump|fake|8
Pinera leads Chile election with 36 percent after partial count|true|9
Bill O’Reilly On Hannity: Reveals Who Threatened Them If They Had The Interview [Video]|fake|7
Pope says his defense of Rohingya got through in Myanmar|true|10
 Gabby Giffords Has Made Her Choice For Who She Wants As The Next President|fake|9
WIFE OF LIONS QUARTERBACK Matthew Stafford Just Sent A BRUTAL MESSAGE To NFL Players Who Disrespect Our Flag|fake|10
Illinois governor's office warns of crippling pension payment hike|fake|7
 WATCH: Steve Harvey HILARIOUSLY Mocks Trump For Whining About SNL|fake|10
RADICAL “OCCUPY” MOM WHO LEFT 4 KIDS AND HUSBAND To Block NYC Traffic Plays Victim Card… Sues For “Police Brutality”|fake|8
Obama's legislative aide Fallon departs: White House|true|10
 Obama Gives Profound Statement On Guns, Right-Wingers Respond With #GlockABook Hashtag|fake|8
WOMAN DEFENDS Female Genital Mutilation With This Twisted Reasoning [Video]|fake|10
Obama tells Trump to 'stop whining' over rigged election claims|true|10
CAN YOU GUESS Whose Famous Voice Narrates Trump’s First TV Ad? [Video]|fake|10
Macri ally leads Argentina Senate race against former president|true|10
U.S. court skeptical of lawmaker immunity in trading probe|fake|10
Michelle Obama, daughters to visit Liberia, Morocco, Spain: White House|true|6
 Photo Woman Posted Of Unsuspecting Target Cashier Goes Viral (IMAGES)|fake|10
 Obama Teams Up With Stephen Colbert For Brutal Trump Diss; Trump LIVID (VIDEO)|true|10
Myanmar corrects state media report on U.N. 'agreement' to help house refugees|fake|9
Story Withdrawn: Wealthy win in U.S. House tax bill, taxes rise for some - think tank|true|10
Hundreds of thousands march for unified Spain, poll shows depths of division|true|10
'Red Scare' puts pressure on Indonesian president|fake|10
EU plans Brexit summit gesture, May hints on cash|true|10
Colombia authorizes air raids against dissident FARC, crime gangs|true|10
REMEMBER 24/7 Media Coverage Of Bush’s “Hurricane Katrina”? Louisiana Hit With Historic Flooding…Caskets Floating…Obama Declares State Of Emergency…Goes Golfing!|fake|10
WALMART WILL MELT CLASS RINGS WITH CONFEDERATE FLAG: [Video] Refuses To Fulfill Order For Arkansas Woman…Will Refund Payment|fake|9
Carson signals exit, U.S. Republicans grapple with Trump victories|fake|8
 Dipsh*t Adjusts Gun He Was Hiding In His SOCK Shoots Himself, Stranger At Graduation Ceremony|fake|8
Trump weighs next executive orders on national security: White House|true|10
RESPECT! STUDENTS BRAVE POURING RAIN To Take Down American Flag|fake|10
Rape cases fuel anti-migrant angst in Italy ahead of election|true|9
VIDEO: Watch James O’Keefe Easily Obtain Eminem’s Election Ballot in Undercover Sting|fake|10
WATCH #BlackLivesMatter Students Panic When Asian Student Turns Tables On Them…Talks About Racial Harassment By Blacks|fake|10
SAY WHAT? PROSECUTORS Claim Convicted ISLAMIC TERRORIST Used His LAPTOP and Jihadi Materials To Radicalize Fellow Prisoners In NY Prison|fake|10
(VIDEO)INCREDIBLE ACCOUNT FROM SHERIFF MICHAEL LEWIS ON STAND DOWN ORDER DURING BALTIMORE RIOTS|true|10
PRESIDENT TRUMP’S REMARKS at Ford’s Theatre Gala Include Warning to Terrorists: “This bloodshed MUST end. This bloodshed WILL end” [Video]|true|10
Germany must stop relying on U.S. for foreign policy: foreign minister|true|10
 Ted Nugent Calls For The Death Of President Obama, Goes Off On Racist Rant (VIDEO)|fake|6
Some in Oklahoma statehouse urge Obama impeachment over bathroom rule|true|10
KAINE GETS TRIPPED UP Trying To Explain Away Hillary’s Absence…’She, she, she…” [Video]|fake|10
LIST OF 20 “Vetted” Refugees Who Were Charged With Terrorism After Entering U.S:”I want to blow myself up…I am against America”|fake|10
 Coolest Mom Ever: Adele Lets Her Son Dress As Anna From ‘Frozen’ At Disneyland (IMAGES)|fake|10
 Mike Pence Abruptly Bails On PBS Interview, Crumbles Under Russia Pressure (TWEETS)|fake|10
HILARIOUS MUST WATCH VIDEO: Hollywood Actor, Trump-Hater Just Got BURNED, Outsmarted…BIG-TIME By Trump Supporters|fake|10
HOLY FREEDOM OF SPEECH! Obama’s Attorney General Promises To Punish Americans For Anti-Muslim Speech…UPDATE: Why Lynch May Be “Most Likely Candidate” To Quickly Push Through Supreme Court Justice Nomination Process|fake|10
Trump wants to work with Schumer, Pelosi on tax reform: White House|true|10
Mexico's Pena Nieto says disaster funds limited, need to rework budget|true|9
 President Obama Uses Presidential Powers To Do One More AWESOME Last-Minute Thing|fake|10
SHARE THIS EVERYWHERE! DISEASED REFUGEES Get SSN and Passport Upon Arrival to the U.S. [Video]|fake|10
DEAR DEMOCRATS AND LIBERALS…Stop Complaining About The Election…You’re The Ones Who Created “Us”|fake|10
Melania's birth country Slovenia sees strong tourism growth|true|10
 Lindsey Graham Says GOP Blocking SCOTUS Nominees Is ‘Going To Be The New Rule’ (VIDEO)|fake|10
BOOM! CONSUMER CONFIDENCE SOARS To Level Americans Haven’t Seen Since Another Republican Was President…MEDIA SILENT|fake|6
British police arrest second man over London train bomb|true|10
White House says will work with Rubio on child tax credit|fake|5
Germany's Merkel ahead of SPD rival in TV debate: polls|fake|10
 This Church Treasurer Is Going To Jail For A Crime Spree That Blows The Lie Of ‘Christian Morality’ Apart (VIDEO)|fake|8
 Trump Just SLAMMED U.S. Shut To Far More Than Refugees – Worldwide Chaos Reigns|true|10
John McCain and The Cancer of Conflict|fake|10
Iran nuclear deal fight threatens Senate spending bill|true|6
 WATCH: Girl On Bike Brutally Beaten By Cops And Then SHE Is Charged With Assault|fake|10
LEFTY MEDIA PULLS WOMAN CARD: Why Hillary Chose To Wear White To Debate Trump|fake|9
NAFTA talks must include discussion on fintech: Mexican negotiator|true|10
 WHOA! Donald Trump Is Going To Lose His F*cking Mind When He Sees SNL’s Cold Open (VIDEO)|fake|10
 Trevor Noah Notices This Odd Similarity Between U.S. Water And Trump (VIDEO)|true|10
Trump fires back at Obama, says Clinton 'unfit' for government|true|9
U.S. officials warn of ISIS' new caliphate: cyberspace|true|8
Trump says will announce decision on Paris climate deal soon|true|8
DEAR MR PRESIDENT: Listen To Your Own FBI Director And Homeland Security Tell Us We CANNOT Properly Screen The Syrian “Refugees” [Video]|fake|10
Pakistani Taliban says behind deadly blast in tribal region|true|10
Putin, in decree, says Russia's armed forces are 1.9 million-strong|fake|8
Germany's Social Democrats beat Merkel's conservatives in state vote|true|10
EU leaders want to 'responsibly' cut Turkey pre-accession aid: Merkel|fake|9
NEWSFLASH FOR OUR IMPERIAL PRESIDENT: STATES CAN REFUSE IRAN DEAL [Video]|fake|10
“AM I NOT SPEAKING ENGLISH?”…REPORTER RIPS Into State Department Rep Over Evasive Answers On Clinton E-mails [Video]|fake|9
U.N. aims to open Libyan transit center early next year - senior official|true|10
 Brainwashed Marine Cries ‘Benghazi!’ At Bill Clinton, Gets Shut Down (VIDEO)|fake|10
BREAKING: WOMEN, MEN ARRESTED After MAJOR BRAWL BREAKS OUT At Florida Airport Over Spirit Airlines Cancelled Flights [VIDEO]|fake|10
UK threat level remains at critical: minister|true|8
HILLARY CHEATED! Who Really Fed Hillary The Answers To Her Questions At Veteran’s Forum?|fake|10
Exclusive: Japan considers buying more U.S. energy as Abe prepares to meet Trump|true|10
 Hyperventilating Christians Freak Out Over Ban On Prayer At Phoenix City Council Meetings (VIDEO)|fake|10
BOOM! Trump Drains Obama Swamp…Mandates All Ambassadors Vacate Positions “Without Exceptions” By Inauguration Day|fake|5
 Republicans Had Total Control Of This State And Its About To Collapse|true|10
U.S. senators want say on any Trump Russia sanctions action|true|10
Utah Ranchers Vow to Stand Up to Government Abuse Despite Oregon Arrests|true|8
White House opposes House Zika bill, calls funding inadequate|true|10
ANOTHER WIN FOR TRUMP! Release Of Americans Jailed In Egypt Secured By Trump Administration [Video]|fake|10
WATCH: Wildly Popular, Outspoken Geert Wilders Is Being Called “The Dutch Trump”…Why His Plan To De-Islamize The Netherlands Is Resonating With Voters|true|10
BREAKING…VP PENCE and Wife Karen Abruptly Leave Colts Game…DESTROYS Unpatriotic NFL On Twitter|fake|10
Immigrants across the U.S. skip work, school in anti-Trump protest|true|10
Vietnam restricted access to Facebook during Obama visit: activists|fake|10
 Donald Trump Vote Broke Up This Couple’s Marriage|fake|9
 Conservatives Are CRYING After Meryl Streep DESTROYS Trump In Golden Globes Speech (VIDEO)|fake|10
Islamic State set up Libyan desert army after losing Sirte: prosecutor|fake|10
‘ANGEL’ MOMS of Sons Killed by Illegals Weigh in on Rockville Rape of 14-Year Old by Illegals: “This poor child is scarred forever” [Video]|fake|6
BILL NYE THE SCIENCE GUY: Believe In Global Warming Or It’s Jail For You [Video]|fake|10
TRUMP BRINGS LOVE FOR AMERICA BACK TO DC! President-Elect Trump Wows Crowd With Awesome Speech At Union Station [VIDEO]|fake|10
BREAKING: SOURCE TELLS HOW Anthony Weiner Accidentally Got The 650,000 Emails The FBI Discovered [Video]|fake|10
Islamic State's Baghdadi, in undated audio, urges militants to keep fighting|fake|8
WHOA! CLINTON GRIFTERS BAGGED $100 Million From “Blood Minerals” Firm|fake|8
EPIC! TUCKER CARLSON Demolishes NYC Councilman Over Sanctuary Cities [Video]|fake|9
DETROIT PUBLIC SCHOOL Assistant Supervisor Admits To Stealing Money From Special Needs Students|fake|9
 WATCH: Wolf Blitzer Makes Republican Throw Temper Tantrum Over Trump’s Nazi Problem|fake|10
TRUMP FEVER! W. VA Dem Senator Says He Won’t Vote With Party…Doesn’t Give A SH*T If It Costs Him Election, After Former Dem W. VA Governor Switched Parties At Trump Rally Last Week|fake|10
Puerto Rico GO bondholders issue proposal for restructuring|true|10
Turkey orders arrest of former police investigator's parents: Hurriyet|true|5
 Cowardly ESPN Won’t Stand Up For Black Reporter Who Spoke The Truth About Trump (TWEETS)|fake|10
COWARDLY CHAIN MIGRATION TERRORIST Who Entered US During Obama’s Second Term, Mocked President Trump Just Before Failing To Blow Himself Up|fake|10
 The Trump Administration Is ALREADY Taking Aim At Internet Freedom (DETAILS)|true|10
RACISM MUCH? Black Cornell Students Protest a Pro-Black Protest Led by White Students|fake|10
MEDIA LIE EXPOSED: Hundreds Of Students Rally In Support Of Fired SC School Cop: Fight Back Against Cop-Hating, Race Baiting Media[VIDEO]|fake|8
BOILER ROOM – EP #54 – America… The End is Nigh|fake|9
BREAKING: FBI ARREST STOPS Horrific San Francisco “MASS CASUALTY” Christmas Day Attack By MUSLIM, Truck Driver and Former Marine Sharpshooter|fake|10
MUSLIM MISS UNIVERSE Contestant Ignores Competition Rules Other Candidates Must Follow…Makes Up Her Own Rules|fake|10
 REPORT: Trump’s Modeling Agency Is A Cover For Human Trafficking|fake|10
WATCH HILLARY CLINTON BARK Like A Dog During Speech [Video]|true|10
Trump: U.S. has 'no choice' but to deal with North Korea arms challenge|true|10
 People Are Going To LOSE IT When They Discover What Trump Is Doing With DAPL|fake|10
Trump on Twitter (Aug 16)- Manufacturing Council, Policy forum|true|10
UN OFFICIAL TIED TO CLINTONS Set To Face Trial, Found With Throat CRUSHED By Barbell…UN Claims Heart Attack Is Cause Of Death|fake|10
VIOLENT DEMOCRATS Punch And Harass TRUMP Supporters…Burn Flags At Fundraiser [Video]|fake|10
Suspected al Qaeda fighters among four Syrians arrested in Netherlands: prosecutors|true|10
GUESS WHERE THE BALTIMORE SCHOOL SYSTEM RANKS AMONG THE NATION’S 100 LARGEST SCHOOL DISTRICTS?|fake|10
Fed's Yellen says Puerto Rico faces economic crisis, matter for Congress|true|10
Russia sends 175 de-miners to Syria's Deir al-Zor: Interfax|true|9
HOW SENATE DEMOCRATS PLAN TO FORCE GUN-CONTROL Amendment On GOP’s Bill To Repeal Obamacare|fake|5
 WATCH: Pelosi Knows The Russians Have Something HUGE on Trump and He’ll Do Anything To Keep It Quiet|fake|10
Trump vows to 'win' against opioid epidemic, offers no new steps|true|9
Bali airport's closure due to volcano has affected 445 flights: operator|true|10
French troops conducting operations on Niger-Mali border after attack|true|10
Belgian judge to decide on warrant for ex-Catalan leader on Dec. 14: lawyer|true|10
Syrian opposition picks chief negotiator ahead of new Geneva talks|true|9
Obama administration to announce efforts to boost self-driving cars|true|9
OBNOXIOUS! ANDREA MITCHELL Physically Removed From Photo Op After Repeatedly Yelling Like A Toddler [Video]|fake|10
AMTRAK FACTS AND WHY AMERICANS SHOULDN’T TRUST THE CALL FOR MORE INFRASTRUCTURE SPENDING|fake|10
 Trump Says Blacks Are In Worse Shape Than During SLAVERY (VIDEO)|true|9
Storm-battered Antigua asks U.S. to settle 12-year old WTO bill|true|9
EPISODE #4 – ON THE QT: ‘Julian vs Hillary’ (Part 1) @21WIRE.TV|fake|8
 Global Survey HUMILIATES Trump After He Claims World Leaders Loved Everything He Said At United Nations|true|10
OUTRAGEOUS REPORT: EPA’s Wasteful Spending On “Performance Bonuses” is Bad BUT The PR Campaign Spending Will Blow Your Mind|fake|10
FLASHBACK: Hillary And Raunchy Actress Discuss Desire To See Rock Star’s Penis: “I’ll look for that” [Video]|fake|9
High court emissions ruling won't deter clean energy drive |true|10
SICKENING: ANGRY BLACK STUDENT Spray Paints RACIST Graffiti All Over UW Madison Campus…RADICAL Professors, 700 Students Cry “RACISM” When Police Arrest Him[VIDEO]|fake|10
TRUMP SOUNDED LIKE A CHOIR BOY Next To Hillary’s Foul-Mouthed, Abusive Rants: “Where’s the miserable c*ck sucker?”…and MORE|fake|10
 Bin Laden’s Brother Lived In Trump Tower, Gave Millions To The Donald|fake|3
House Speaker Ryan says he believes upbeat Treasury tax study|true|10
BREAKING: Victor Alonzo Majia Nunez ARRESTED After Attempted Drive-By Shooting Of Roswell, GA Cop From Stolen SUV|fake|10
HERE’S WHY AMERICA IS THE GREATEST No matter What The Loony Lefties Say [Video]|fake|10
Exclusive: Trump team seeks agency records on border barriers, surveillance|true|10
UNHINGED LIBERAL Uses The ‘N-Word’ On Live TV To Try And Push False Narrative Of Alt-Right And Trump [Video]|fake|10
Lebanon ex-PM meets French, UK, EU, U.S. diplomats in Riyadh: PM's office|true|9
Pence's mission in Europe: clarify Trump's foreign policy vision|true|10
Sessions visits U.S.-Mexico border to push migrant crackdown|true|10
Florida legislature approves controversial abortion restrictions|true|10
Iceland's Left-Green opposition leader to become new prime minister|fake|10
BETTE MIDLER Asks Obama To Release VIOLENT BLACK PANTHERS From Prison…Gets HAMMERED On Social Media|fake|9
#VeryFakeNewsCNN BUSTED After Getting MAJOR Detail In Donald Trump Jr.-Wikileaks Story Wrong|fake|10
FBI deputy director to sit for closed interview with House panels|true|10
Father of Orlando Shooter is Long-time CIA Asset|fake|10
South Korean inbound travel agency says China bans group tours to South|fake|10
DESPERATE DEMS? RUSSIAN BANK Reports Computer Hacks Designed To Make It Appear Trump Had Secret Relationship With Them|fake|8
 A HUGE Percentage Of Americans Think Trump Fired James Comey Only To Protect Himself|fake|10
 Ben & Jerry’s Ice Cream Founders Get Arrested At U.S. Capitol|fake|10
FURIOUS CUSTOMERS RESPOND To Home Depot Cashier’s “AMERICA WAS NEVER GREAT” Anti-Trump Hat [VIDEO]|fake|10
TRUMP’S WISCONSIN SPEECH Knocks It Out Of The Park: “The War On Our Police Must End” [Video]|fake|10
U.S. puts more pressure on Pakistan to help with Afghan war|true|7
 Courts Decide Conspiracy Nut Alex Jones Is Too Crazy To Raise His Own Kids (DETAILS)|fake|10
RAMBO LOVES “THE DONALD”: Hollywood Icon Expresses His Support For Trump As Liberal Heads Explode|fake|10
Factbox: Trump names executives, labor officials to manufacturing jobs council|true|10
Congress to start undoing Obama-era regulations this month: leader|true|10
Somalia's top military chiefs resign, no reason given|fake|9
DISASTER CAPITALISTS: How Bill And Hillary’s “Clinton Foundation” Used Relief Donations Like An ATM|fake|10
Anti-Trump protesters gather for third night, one shot in Portland|fake|10
Food security in Middle East, North Africa deteriorating, says U.N. agency|true|10
(VIDEO) PACKED HOUSE: DONALD TRUMP’S SPEECH FROM TODAY’S IOWA RALLY|true|8
CIA chief Pompeo says he warned Iran's Soleimani over Iraq aggression|fake|10
VIRAL VIDEO: German Youth Deliver Powerful Anti-Refugee Message To Political Leaders: “We are ready for the Reconquista!”|fake|8
In Athens, Macron to urge renewal of EU democracy|fake|9
YIKES! NEW BILL CLINTON RAPE Details Emerge: “Her mouth was all swollen up…It was cut…Her pantyhose were all ripped”|fake|8
White House chief of staff not quitting, says job is not to control Trump|fake|8
Trump nominates Democrat Rosenworcel to serve again as FCC commissioner|true|9
BRAVE PRO-TRUMP REPORTER Grabs Microphone At Climate March…Tells Liberal Crowd To Chant “Bill Clinton Is A Rapist!” [Video]|fake|10
CNN INTERVIEW TURNS INTO SCREAMING MATCH When Activist Director Argues New “IRRELEVANT” Footage Of Michael Brown Is Game Changer [VIDEO]|fake|10
 Ted Cruz Tells His Fanatics To Put On Their ‘Armor Of God’ To Prepare To Fight For Him|true|10
SENATOR JOHN MCCAIN’S Trump Dossier Hand Off…The “Go-Between” Speaks Out|fake|10
 John Cleese NAILS Stupidity Of Trump’s London Tweets, Trump Fan Responds And Humiliates Himself|fake|9
Trump says Pence to represent him at Wisconsin event on Saturday|true|7
 Black Man Detained By Cops After Withdrawing $200,000 Of HIS OWN Money (VIDEO, IMAGES)|fake|10
Turkey's Erdogan says critical decisions on Syria will be made today|true|10
OUCH! BERNIE SANDERS Responds To Hillary’s Criticism…Slams Her With Category-5 Zinger [VIDEO]|fake|10
Bus plunges into river in Nepal, killing at least 31|fake|1
Connecticut lawmakers pass $41.3 billion budget nearly four months late|true|10
With Budapest closer to Moscow, Orban grants money to Russian Orthodox churches|true|6
